,id_entrega,Produtos,Data_da_entrega,Status,Destino,Distância_km,Custo,Faturamento
162,163,Carnes,2024-10-27,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
163,164,soja,2021-11-27,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
164,165,eletrônicos,2020-10-13,A tempo,Uberlândia-Uberaba,110,194.85714285714286,550.0
165,166,eletrônicos,2025-01-05,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
166,167,soja,2020-09-25,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
167,168,Carnes,2025-10-03,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
168,169,Gasolina,2021-03-16,A tempo,Uberlândia-Catalão,190,336.57142857142856,950.0
169,170,Gasolina,2024-07-28,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
170,171,Disel,2025-05-08,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
171,172,milho,2020-02-16,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
172,173,café,2024-05-27,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
173,174,Disel,2024-04-25,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
174,175,Queijo,2023-11-20,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
175,176,milho,2025-02-02,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
176,177,Disel,2023-06-27,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
177,178,soja,2023-07-25,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
178,179,café,2022-04-21,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
179,180,eletrônicos,2023-03-20,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
180,181,Gasolina,2024-09-15,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
181,182,milho,2024-09-01,A tempo,Uberlândia-Goiânia,330,584.5714285714287,1650.0
182,183,Queijo,2024-06-21,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
183,184,Disel,2025-11-22,Atrasado,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1350.0
184,185,soja,2023-03-07,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
185,186,café,2021-03-02,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
186,187,soja,2024-10-03,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
187,188,soja,2024-08-29,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
188,189,glp,2025-01-28,Atrasado,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1350.0
189,190,Carnes,2025-03-19,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
190,191,eletrônicos,2021-07-08,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
191,192,Queijo,2025-07-01,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
192,193,Queijo,2020-01-02,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
193,194,Carnes,2025-05-07,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
194,195,glp,2022-03-09,A tempo,Uberlândia-Catalão,190,336.57142857142856,950.0
195,196,eletrônicos,2024-07-19,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
196,197,milho,2020-08-06,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
197,198,soja,2022-04-08,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
198,199,milho,2021-10-12,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
199,200,Disel,2021-09-30,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
200,201,Carnes,2022-11-12,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
201,202,eletrônicos,2025-04-12,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
202,203,glp,2025-11-07,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
203,204,Disel,2023-01-03,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
204,205,Carnes,2023-04-26,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
205,206,Disel,2022-01-13,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
206,207,café,2024-12-25,A tempo,Uberlândia-Uberaba,110,194.85714285714286,550.0
207,208,Disel,2021-08-22,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
208,209,Gasolina,2024-12-25,Atrasado,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1350.0
209,210,café,2020-07-10,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
210,211,Gasolina,2021-02-27,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
211,212,Gasolina,2022-05-31,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
212,213,café,2022-04-17,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
213,214,milho,2023-01-11,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
214,215,milho,2024-10-26,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
215,216,café,2020-11-28,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
216,217,Gasolina,2023-02-16,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
217,218,Carnes,2022-07-05,A tempo,Uberlândia-Catalão,190,336.57142857142856,950.0
218,219,glp,2025-06-24,A tempo,Uberlândia-Catalão,190,336.57142857142856,950.0
219,220,Queijo,2021-07-28,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
220,221,eletrônicos,2023-06-13,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
221,222,eletrônicos,2025-12-19,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
222,223,glp,2020-12-30,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
223,224,Carnes,2024-09-01,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
224,225,soja,2025-03-01,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
225,226,glp,2020-08-06,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
226,227,Gasolina,2021-10-29,Atrasado,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1350.0
227,228,café,2020-02-25,Atrasado,Uberlândia-Belo_Horizonte,540,956.5714285714286,2430.0
228,229,glp,2022-06-16,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
229,230,Carnes,2021-07-15,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
230,231,café,2024-06-10,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
231,232,soja,2025-06-01,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
232,233,Disel,2022-04-23,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
233,234,café,2020-10-17,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
234,235,milho,2023-01-14,A tempo,Uberlândia-Catalão,190,336.57142857142856,950.0
235,236,Queijo,2021-01-18,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
236,237,Carnes,2021-01-09,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
237,238,Gasolina,2025-08-15,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
238,239,Gasolina,2023-08-18,A tempo,Uberlândia-Goiânia,330,584.5714285714287,1650.0
239,240,eletrônicos,2024-09-26,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
240,241,café,2024-04-26,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
241,242,Carnes,2024-08-05,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
242,243,glp,2023-12-09,A tempo,Uberlândia-Uberaba,110,194.85714285714286,550.0
243,244,soja,2021-11-20,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
244,245,Disel,2025-02-10,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
245,246,café,2022-01-16,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
246,247,Gasolina,2020-02-23,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
247,248,eletrônicos,2020-02-23,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
248,249,glp,2024-09-18,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
249,250,soja,2024-07-02,Atrasado,Uberlândia-Araguari,30,53.142857142857146,135.0
250,251,Queijo,2023-08-28,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
251,252,milho,2020-08-21,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
252,253,milho,2021-04-21,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
253,254,Carnes,2024-05-12,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
254,255,Queijo,2024-12-18,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
255,256,soja,2020-11-14,Atrasado,Uberlândia-Catalão,190,336.57142857142856,855.0
256,257,glp,2025-07-11,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
257,258,Queijo,2023-11-09,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
258,259,Disel,2021-10-01,A tempo,Uberlândia-Catalão,190,336.57142857142856,950.0
259,260,Queijo,2025-12-05,Atrasado,Uberlândia-Goiânia,330,584.5714285714287,1485.0
260,261,milho,2020-02-06,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
261,262,Gasolina,2020-05-23,A tempo,Uberlândia-Belo_Horizonte,540,956.5714285714286,2700.0
262,263,soja,2023-05-01,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
263,264,Carnes,2025-08-15,A tempo,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4925.0
264,265,soja,2021-04-28,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
265,266,milho,2023-10-29,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
266,267,milho,2020-07-04,A tempo,Uberlândia-Brasília,430,761.7142857142858,2150.0
267,268,Carnes,2023-06-28,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
268,269,Carnes,2023-12-09,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
269,270,Gasolina,2020-02-12,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
270,271,Disel,2020-09-28,A tempo,Uberlândia-São_Paulo,585,1036.2857142857142,2925.0
271,272,Disel,2023-12-06,Atrasado,Uberlândia-Uberaba,110,194.85714285714286,495.0
272,273,café,2025-11-06,A tempo,Uberlândia-Ribeirão_Preto,300,531.4285714285714,1500.0
273,274,eletrônicos,2024-08-03,Atrasado,Uberlândia-Rio_de_Janeiro,985,1744.8571428571431,4432.5
274,275,Gasolina,2023-12-23,Atrasado,Uberlândia-São_Paulo,585,1036.2857142857142,2632.5
275,276,Gasolina,2025-12-29,A tempo,Uberlândia-Araguari,30,53.142857142857146,150.0
276,277,Carnes,2020-06-25,Atrasado,Uberlândia-Brasília,430,761.7142857142858,1935.0
