Número_caminhao,marca,Ano,Km_rodados,tipo
1045,Scania,2012-03-19 05:22:25.338861965,871678,rígido
1046,Scania,2018-01-03 02:30:52.751347936,530190,articulado
1047,Volvo,2012-09-13 02:12:06.939410580,638009,rígido
1048,Scania,2023-03-13 21:04:21.741669120,69216,articulado
1049,Mercedes,2021-04-14 01:43:20.820980608,266842,rígido
1050,Scania,2017-04-24 17:33:59.606715936,552557,articulado
1051,Volvo,2022-07-01 07:58:14.159640704,232100,rígido
1052,Volvo,2022-11-07 00:01:04.608749312,50271,articulado
1053,Volvo,2022-07-29 23:37:49.519251840,81658,rígido
1054,Mercedes,2015-09-17 03:04:09.664794016,447139,rígido
1055,Scania,2021-07-12 12:10:22.470669440,186299,rígido
1056,Volvo,2019-04-11 14:58:28.691315936,226654,rígido
1057,Volvo,2021-12-16 16:26:36.621448704,77742,rígido
1058,Scania,2014-09-08 19:21:58.784850400,676104,articulado
1059,Mercedes,2019-09-08 10:18:51.417335840,165463,articulado
1060,Volvo,2023-04-11 00:59:02.428208768,78410,rígido
1061,Mercedes,2023-03-09 06:16:18.073312512,88803,rígido
1062,Volvo,2014-07-10 07:25:35.378556352,856927,articulado
1063,Mercedes,2022-07-11 20:31:23.716206336,290846,rígido
1064,Scania,2014-04-13 06:51:32.431714768,758367,rígido
1065,Volvo,2021-05-24 20:02:28.834206528,261715,articulado
1066,Volvo,2014-12-15 04:47:08.365073408,793266,articulado
1067,Volvo,2016-01-14 02:24:50.767601920,332313,rígido
1068,Mercedes,2012-03-05 18:41:10.200899741,732695,rígido
1069,Mercedes,2014-11-06 21:27:10.029491280,761442,articulado
1070,Scania,2013-05-20 00:19:52.132314736,893163,rígido
1071,Volvo,2021-11-05 03:29:11.328064000,213495,articulado
1072,Scania,2015-02-17 04:06:25.993349200,401757,rígido
1073,Scania,2021-01-25 03:43:03.982206240,99053,articulado
1074,Volvo,2012-01-17 14:38:02.728863946,728402,rígido
1075,Mercedes,2013-12-28 14:19:50.996341080,640548,articulado
1076,Scania,2017-12-16 14:53:57.999051488,473846,articulado
1077,Mercedes,2014-06-26 07:20:55.535797888,785137,articulado
1078,Scania,2017-04-22 07:04:14.644066944,463280,articulado
1079,Mercedes,2020-02-27 21:00:15.514315104,195161,rígido
1080,Volvo,2012-06-05 22:59:58.387105074,720568,articulado
1081,Scania,2021-11-02 21:47:51.730254144,245272,rígido
1082,Volvo,2014-05-25 19:07:03.760970112,807130,rígido
1083,Scania,2017-11-19 12:52:21.381690304,539091,articulado
1084,Scania,2019-01-30 02:06:59.619407328,203036,articulado
1085,Mercedes,2022-10-22 01:30:30.209767872,72581,articulado
1086,Mercedes,2014-04-16 09:43:17.540008544,711021,articulado
1087,Mercedes,2013-11-01 05:28:01.513188776,834869,articulado
1088,Mercedes,2016-08-12 05:28:53.616884000,472584,rígido
1089,Mercedes,2020-06-04 03:51:16.052407680,279076,articulado
1090,Mercedes,2017-12-10 01:11:55.361707296,586946,rígido
1091,Mercedes,2022-12-25 12:26:05.391984512,76519,rígido
1092,Volvo,2022-10-27 09:06:05.034743552,190765,rígido
1093,Mercedes,2016-06-08 11:43:20.713703280,437998,articulado
1094,Mercedes,2016-03-16 11:28:34.651498848,463023,rígido
1095,Volvo,2016-01-09 05:47:08.985774864,522053,articulado
1096,Volvo,2020-04-18 20:18:21.808443712,168389,rígido
1097,Volvo,2016-03-03 17:57:30.336044912,597137,articulado
1098,Volvo,2022-01-18 11:01:44.964011968,147925,rígido
1099,Volvo,2019-04-23 15:33:30.052922944,80107,articulado
10100,Volvo,2018-03-07 20:03:30.474602112,410966,rígido
