,Número_caminhão,Marca,Ano de fabricação,Data da última manutenção,Data da próxima manutenção,Status de manutenção
78,1079,Mercedes,2013-05-14 11:25:37.464007880,2025-07-31,2026-01-31,Atrasada
79,1080,Mercedes,2016-02-28 10:59:21.831880512,2025-07-31,2026-01-31,Atrasada
80,1081,Volvo,2014-11-21 01:24:13.818336000,2026-01-31,2026-07-31,Ok
81,1082,Mercedes,2018-05-23 10:03:19.561194784,2026-01-31,2026-07-31,Ok
82,1083,Mercedes,2015-10-24 04:51:57.914122704,2025-07-31,2026-01-31,Atrasada
83,1084,Scania,2023-11-14 10:17:16.818177536,2025-01-31,2025-07-31,Atrasada
84,1085,Volvo,2022-11-25 04:50:26.844852544,2026-01-31,2026-07-31,Ok
85,1086,Volvo,2017-06-03 03:54:13.906997792,2025-01-31,2025-07-31,Atrasada
86,1087,Mercedes,2018-08-12 07:53:13.524715104,2025-07-31,2026-01-31,Atrasada
87,1088,Scania,2016-04-06 16:19:24.748224016,2025-01-31,2025-07-31,Atrasada
88,1089,Mercedes,2018-01-22 00:45:49.287883712,2025-01-31,2025-07-31,Atrasada
89,1090,Mercedes,2016-06-26 18:22:42.615336944,2025-01-31,2025-07-31,Atrasada
90,1091,Mercedes,2021-03-03 10:35:37.721863360,2025-01-31,2025-07-31,Atrasada
91,1092,Mercedes,2015-01-05 20:46:32.787234544,2025-07-31,2026-01-31,Atrasada
92,1093,Scania,2013-01-08 16:59:45.329929196,2025-07-31,2026-01-31,Atrasada
93,1094,Scania,2015-12-29 14:25:31.080457584,2025-01-31,2025-07-31,Atrasada
94,1095,Scania,2018-01-04 18:55:22.141457664,2025-07-31,2026-01-31,Atrasada
95,1096,Volvo,2015-11-19 00:42:40.658100176,2026-01-31,2026-07-31,Ok
96,1097,Scania,2020-03-13 13:01:18.227046976,2026-01-31,2026-07-31,Ok
97,1098,Volvo,2017-05-17 11:43:52.253323296,2026-01-31,2026-07-31,Ok
98,1099,Mercedes,2013-05-08 17:09:48.751715504,2025-07-31,2026-01-31,Atrasada
99,10100,Scania,2018-06-03 04:02:52.473119552,2026-01-31,2026-07-31,Ok
